Name: Barclay-Kingston | Temperature: -273.1
Name: Silver Springs Shores | Temperature: 8.0
Name: Altamont | Temperature: 0.2
Name: Abilene | Temperature: 7.0
Name: Altus | Temperature: 1.7
Name: Perris | Temperature: 11.4
Name: Adelanto | Temperature: 6.5
Name: Addison | Temperature: -2.9
Name: Amherst | Temperature: -1.0
Name: Albertville | Temperature: 7.9
Name: Auburn | Temperature: 2.5
Name: Amherst | Temperature: -1.0
Name: Amherst | Temperature: -1.0
Name: Abingdon | Temperature: 9.9
Name: Athens | Temperature: 2.0
Name: Aliso Viejo | Temperature: 17.0
Name: Allen | Temperature: -0.1
Name: American Canyon | Temperature: 14.4
Name: Auburn | Temperature: 2.5
Name: Alderwood Manor | Temperature: 3.3
Name: Amherst | Temperature: -1.0
Name: Athens | Temperature: 2.0
Name: Arlington | Temperature: 11.0
Name: Auburn | Temperature: 2.5
Name: Anaconda-Deer Lodge County | Temperature: -273.1
Name: Atlanta | Temperature: 10.4
Name: Arlington | Temperature: 11.0
Name: Arlington Heights | Temperature: -273.1
Name: Anadarko | Temperature: -0.0
Name: Acushnet | Temperature: 0.8
Name: Ada | Temperature: -1.8
Name: Auburn | Temperature: 2.5
Name: Amityville | Temperature: 0.8
Name: Atwater | Temperature: 10.2
Name: Auburn | Temperature: 2.5
Name: Atlantic | Temperature: 0.7
Name: Aiea | Temperature: 23.1
Name: Atlantic Beach | Temperature: 7.6
Name: Aldine | Temperature: 16.5
Name: Athens | Temperature: 2.0
Name: Anchorage | Temperature: -4.1
Name: Arnold | Temperature: 10.4
Name: Andover | Temperature: 9.9
Name: Anderson Mill | Temperature: 8.8
Name: Ashland | Temperature: -0.0
Name: Anderson | Temperature: 10.3
Name: Auburn Hills | Temperature: -273.1
Name: Auburn | Temperature: 2.5
Name: Andover | Temperature: 9.9
Name: Andalusia | Temperature: 9.5
Name: Athol | Temperature: -0.6
Name: Ashland | Temperature: -0.0
Name: Athens-Clarke County | Temperature: -273.1
Name: Ashland | Temperature: -0.0
Name: Athol | Temperature: -0.6
Name: Ashland | Temperature: -0.0
Name: Arnold | Temperature: 10.4
Name: Ashland | Temperature: -0.0
Name: Aquia Harbour | Temperature: -273.1
Name: Attica | Temperature: 0.8
Name: Ashland | Temperature: -0.0
Name: Bacliff | Temperature: 15.0
Name: Anderson | Temperature: 10.3
Name: Augusta-Richmond County | Temperature: -273.1
Name: Auburndale | Temperature: 11.1
Name: Atkinson | Temperature: -1.2
Name: Augusta | Temperature: 0.3
Name: Audubon | Temperature: 1.7
Name: Andrews AFB | Temperature: 0.6
Name: August | Temperature: 11.5
Name: Angola | Temperature: 15.9
Name: Arroyo Grande | Temperature: 15.7
Name: Artondale | Temperature: 2.9
Name: Augusta | Temperature: 0.3
Name: Arab | Temperature: 6.7
Name: Aurora | Temperature: -3.5
Name: Aurora | Temperature: -3.5
Name: Arvin | Temperature: 13.6
Name: Aptos | Temperature: 12.9
Name: Aurora | Temperature: -3.5
Name: Attleboro | Temperature: -1.6
Name: Aurora | Temperature: -3.5
Name: Aspen Hill | Temperature: -273.1
Name: Asbury Park | Temperature: 0.2
Name: Artesia | Temperature: 17.7
Name: Attalla | Temperature: 8.4
Name: Austin | Temperature: 8.9
Name: Ann Arbor | Temperature: -3.3
Name: Aurora | Temperature: -3.5
Name: Artesia | Temperature: 17.7
Name: Arvada | Temperature: -4.1
Name: Bangor Trident Base | Temperature: 3.4
Name: Arabi | Temperature: 13.5
Name: Angleton | Temperature: 15.9
Name: Ashtabula | Temperature: -1.5
Name: Aransas Pass | Temperature: 20.0
Name: Apple Valley | Temperature: 6.2
Name: Ankeny | Temperature: -9.3
Name: Arden Hills | Temperature: -273.1
Name: Antioch | Temperature: 4.0
Name: Austin | Temperature: 9.0
Name: Beaumont | Temperature: 13.9
Name: Asheboro | Temperature: 6.9
Name: Arbutus | Temperature: 0.3
Name: Bainbridge | Temperature: 4.1
Name: Baker | Temperature: 14.7
Name: Avenel | Temperature: 1.3
Name: Bakersfield | Temperature: 16.1
Name: Austintown | Temperature: 0.0
Name: Avocado Heights | Temperature: -273.1
Name: Baker City | Temperature: 1.0
Name: Apex | Temperature: 6.0
Name: Atascadero | Temperature: 11.1
Name: Antioch | Temperature: 4.0
Name: Avon | Temperature: -1.0
Name: Bainbridge Island | Temperature: 4.1
Name: Arcata | Temperature: 6.7
Name: Archbald | Temperature: -1.1
Name: Ardmore | Temperature: 6.4
Name: Asheville | Temperature: 1.4
Name: Bailey’s Crossroads | Temperature: -273.1
Name: Arcadia | Temperature: 15.9
Name: Barrington | Temperature: -0.1
Name: Ashwaubenon | Temperature: -10.2
Name: Anoka | Temperature: -15.5
Name: Annandale | Temperature: 1.1
Name: Atascocita | Temperature: 15.8
Name: Arkadelphia | Temperature: 9.4
Name: Annapolis | Temperature: 0.5
Name: Astoria | Temperature: 2.0
Name: Ansonia | Temperature: 0.1
Name: Apopka | Temperature: 11.1
Name: Avon | Temperature: -1.0
Name: Barrington | Temperature: -0.1
Name: Arcadia | Temperature: 15.9
Name: Archdale | Temperature: 4.7
Name: Arcadia | Temperature: 15.9
Name: Ansonia | Temperature: 0.1
Name: Anniston | Temperature: 10.2
Name: Barrington | Temperature: -0.1
Name: Anthony | Temperature: 6.2
Name: Appleton | Temperature: -10.4
Name: Bellevue | Temperature: 3.8
Name: Bedford | Temperature: 10.6
Name: Balch Springs | Temperature: 10.8
Name: Apollo Beach | Temperature: 11.5
Name: Bellevue | Temperature: 3.8
Name: Banning | Temperature: 7.1
Name: Arden-Arcade | Temperature: 11.4
Name: Baldwin | Temperature: 8.3
Name: Belmont | Temperature: 12.2
Name: Belleville | Temperature: -3.8
Name: Bedford | Temperature: 10.6
Name: Belmont | Temperature: 12.2
Name: Battle Creek | Temperature: -3.9
Name: Belle Haven | Temperature: -273.1
Name: Baldwin Harbor | Temperature: -273.1
Name: Clarkston Heights-Vineland | Temperature: -273.1
Name: Belmont | Temperature: 12.2
Name: Barberton | Temperature: 21.1
Name: Belmont | Temperature: 12.2
Name: Applewood | Temperature: -4.1
Name: Battle Ground | Temperature: 2.3
Name: Baraboo | Temperature: -11.5
Name: Bayshore Gardens | Temperature: 12.3
Name: Azalea Park | Temperature: 10.9
Name: Baldwin | Temperature: 8.3
Name: Berea | Temperature: -1.1
Name: Belpre | Temperature: -1.0
Name: Bayou Cane | Temperature: 11.7
Name: Beavercreek | Temperature: 3.0
Name: Bayport | Temperature: -0.1
Name: Barton | Temperature: -2.9
Name: Bridgeton | Temperature: -1.9
Name: Bella Vista | Temperature: 0.0
Name: Bridgeton | Temperature: -1.9
Name: Bear | Temperature: 0.6
Name: Belle Chasse | Temperature: 13.1
Name: Bentonville | Temperature: 0.0
Name: Berea | Temperature: -1.1
Name: Berkley | Temperature: -2.9
Name: Black Jack | Temperature: 2.6
Name: Beltsville | Temperature: 0.7
Name: Belle Glade | Temperature: 14.4
Name: Centreville | Temperature: -0.7
Name: Aventura | Temperature: 17.8
Name: Calipatria | Temperature: 15.3
Name: Black Mountain | Temperature: 2.7
Name: Dickinson | Temperature: 15.0
Name: Clarkstown | Temperature: -1.7
Name: Coolidge | Temperature: 17.3
Name: California City | Temperature: 10.2
Name: Century Village | Temperature: 18.2
Name: Bridgetown North | Temperature: -7.0
Name: Cuero | Temperature: 14.8
Name: Clarksville | Temperature: 6.0
Name: Dickinson | Temperature: 15.0
Name: Bridgeview | Temperature: -2.2
Name: Cooper City | Temperature: 17.9
Name: Clarksville | Temperature: 6.0
Name: Cullman | Temperature: 7.7
Name: Callaway | Temperature: 6.7
Name: Clarksville | Temperature: 6.0
Name: Ceres | Temperature: 11.5
Name: Coon Rapids | Temperature: -14.7
Name: Culpeper | Temperature: -1.2
Name: Bridgewater | Temperature: -5.8
Name: Bridgewater | Temperature: -5.8
Name: Calumet Park | Temperature: -1.9
Name: Claverack | Temperature: -0.8
Name: Blackfoot | Temperature: -5.4
Name: Coral Hills | Temperature: -273.1
Name: Dishman | Temperature: -0.7
Name: Copperas Cove | Temperature: 8.8
Name: Coppell | Temperature: 10.4
Name: Blacklick Estates | Temperature: 1.2
Name: Calumet City | Temperature: -1.2
Name: Coral Gables | Temperature: 17.7
Name: Copiague | Temperature: 0.8
Name: Brier | Temperature: 3.3
Name: Chalmette | Temperature: 13.5
Name: Clayton | Temperature: 10.8
Name: Athens | Temperature: 2.0
Name: Coral Terrace | Temperature: 17.1
Name: Brighton | Temperature: 9.1
Name: Calverton | Temperature: 0.8
Name: Clawson | Temperature: -2.9
Name: Blacksburg | Temperature: -0.4
Name: Blackhawk-Camino Tassajara | Temperature: -273.1
Name: Cumberland | Temperature: 8.2
Name: Brigantine | Temperature: 0.5
Name: Blackstone | Temperature: -2.4
Name: Blackwell | Temperature: -1.3
Name: Cumberland | Temperature: 8.2
Name: Brighton | Temperature: 9.1
Name: Coralville | Temperature: -10.1
Name: Camano | Temperature: 4.9
Name: Chalco | Temperature: 16.0
Name: Brigham City | Temperature: -3.6
Name: Beloit | Temperature: -4.7
Name: Chamblee | Temperature: 10.3
Name: Coraopolis | Temperature: 0.7
Name: Cambridge | Temperature: -4.4
Name: Camarillo | Temperature: 15.1
Name: Bladensburg | Temperature: 1.8
Name: Babylon | Temperature: 0.8
Name: Bellefontaine Neighbors | Temperature: 2.7
Name: Coram | Temperature: 0.0
Name: Brighton | Temperature: 9.1
Name: Cambria | Temperature: 11.3
Name: Bellflower | Temperature: 17.8
Name: Bristol | Temperature: -0.7
Name: Berea | Temperature: -1.1
Name: Corning | Temperature: -3.2
Name: Corning | Temperature: -3.2
Name: Cumberland | Temperature: 8.2
Name: Cambridge | Temperature: -4.4
Name: Corinth | Temperature: 3.9
Name: Clayton | Temperature: 10.8
Name: Bristol | Temperature: -0.7
Name: Bristol | Temperature: -0.7
Name: Champaign | Temperature: -1.4
Name: Corbin | Temperature: 4.0
Name: Alum Rock | Temperature: 12.1
Name: Coral Springs | Temperature: 19.1
Name: Camden | Temperature: 0.2
Name: Chambersburg | Temperature: -1.7
Name: Avon Park | Temperature: 11.2
Name: Chandler | Temperature: 19.6
Name: Beacon | Temperature: -0.1
Name: Camas | Temperature: 11.9
Name: Clearfield | Temperature: -0.7
Name: Corcoran | Temperature: 10.8
Name: Abbeville | Temperature: 7.2
Name: Cupertino | Temperature: 11.9
Name: Blakely | Temperature: -0.8
Name: Parma | Temperature: 0.6
Name: Cushing | Temperature: -0.3
Name: Dickson City | Temperature: -0.6
Name: Sevierville | Temperature: 7.8
Name: Cutler | Temperature: 16.0
Name: Chanute | Temperature: -1.2
Name: Cornelius | Temperature: 9.2
Name: Parma | Temperature: 0.6
Name: Sweetwater | Temperature: 16.4
Name: Blair | Temperature: -5.5
Name: Chanhassen | Temperature: -15.4
Name: Corinth | Temperature: 3.9
Name: Cornelius | Temperature: 9.2
Name: Cornwall | Temperature: -7.5
Name: Bristol | Temperature: -0.7
Name: Martha Lake | Temperature: 3.1
Name: Sandpoint | Temperature: -2.0
Name: Chapel Hill | Temperature: -273.1
Name: Bristol | Temperature: -0.7
Name: North Decatur | Temperature: 10.4
Name: Alamo | Temperature: 21.0
Name: Bridgeport | Temperature: 0.2
Name: Channahon | Temperature: -2.1
Name: Novato | Temperature: 13.4
Name: Sanibel | Temperature: 14.1
Name: Addison | Temperature: -2.9
Name: Clear Lake | Temperature: -14.8
Name: Cordele | Temperature: 6.3
Name: Belton | Temperature: 0.4
Name: White Meadow Lake | Temperature: -1.2
Name: Oregon | Temperature: -1.7
Name: Cuyahoga Falls | Temperature: -1.0
Name: Bridgeport | Temperature: 0.2
Name: Santa Monica | Temperature: 16.5
Name: Bellevue | Temperature: 3.8
Name: Webb City | Temperature: -0.5
Name: Makakilo City | Temperature: 23.6
Name: Pendleton | Temperature: 0.9
Name: Albion | Temperature: -3.6
Name: Corrales | Temperature: 0.1
Name: North Valley | Temperature: 0.2
Name: Cameron Park | Temperature: 11.4
Name: Seal Beach | Temperature: 17.7
Name: White Oak | Temperature: 3.2
Name: Bloomfield | Temperature: 0.9
Name: Mount Carmel | Temperature: 2.5
Name: New Lenox | Temperature: -2.0
Name: Kemp Mill | Temperature: 1.1
Name: Cynthiana | Temperature: 2.2
Name: Oro Valley | Temperature: 17.6
Name: Overland | Temperature: 2.8
Name: Ocean Springs | Temperature: 11.4
Name: Plainedge | Temperature: 1.3
Name: Cedar City | Temperature: -4.0
Name: Maywood | Temperature: 17.2
Name: Burton | Temperature: -5.0
Name: Oradell | Temperature: -0.2
Name: West Palm Beach | Temperature: 18.2
Name: Albany | Temperature: -2.7
Name: Mount Joy | Temperature: 0.4
Name: Chaparral | Temperature: 19.4
Name: Stoneham | Temperature: -0.1
Name: Alhambra | Temperature: 15.9
Name: North Bellport | Temperature: -0.0
Name: Robinson | Temperature: 10.0
Name: Oakmont | Temperature: -0.2
Name: Webster | Temperature: -3.3
Name: Takoma Park | Temperature: 1.8
Name: Sitka and | Temperature: -273.1
Name: Ocoee | Temperature: 11.4
Name: Opelika | Temperature: 11.4
Name: Bellair-Meadowbrook Terrace | Temperature: 4.8
Name: Alcoa | Temperature: 7.4
Name: Verona | Temperature: -0.2
Name: Rotterdam | Temperature: 7.8
Name: Aberdeen | Temperature: 0.5
Name: American Fork | Temperature: -0.7
Name: Corpus Christi | Temperature: 20.2
Name: Americus | Temperature: 7.0
Name: Makaha | Temperature: 23.2
Name: Barrington | Temperature: -0.1
Name: Richmond | Temperature: 1.4
Name: Big Lake | Temperature: -17.0
Name: Bloomfield | Temperature: 0.9
Name: Cutlerville | Temperature: -5.7
Name: Binghamton | Temperature: -1.8
Name: Bellwood | Temperature: -2.6
Name: Corsicana | Temperature: 10.9
Name: Milton-Freewater | Temperature: 1.6
Name: Benton Harbor | Temperature: -273.1
Name: Beaver Falls | Temperature: 0.9
Name: Cypress | Temperature: 17.7
Name: Pismo Beach | Temperature: 15.8
Name: Otis Orchards-East Farms | Temperature: -0.3
Name: Mount Rainier | Temperature: 1.8
Name: Albany | Temperature: -2.7
Name: Channelview | Temperature: 14.8
Name: Broadview | Temperature: -2.6
Name: Albert Lea | Temperature: -16.4
Name: North Amityville | Temperature: 0.7
Name: Bloomfield | Temperature: 0.9
Name: Cerritos | Temperature: 17.8
Name: Abilene | Temperature: 7.0
Name: Quantico Station | Temperature: 1.5
Name: Tillmans Corner | Temperature: 9.9
Name: Audubon | Temperature: 1.7
Name: Norwood | Temperature: -0.9
Name: Alsip | Temperature: -2.1
Name: Broadview Heights | Temperature: -273.1
Name: Corry | Temperature: -2.8
Name: Chantilly | Temperature: -1.1
Name: Corte Madera | Temperature: 13.6
Name: Bloomingdale | Temperature: 9.2
Name: Camp Hill | Temperature: -273.1
Name: Palm Springs | Temperature: 15.5
Name: Acton | Temperature: 10.0
Name: Rapid Valley | Temperature: -1.2
Name: Bowleys Quarters | Temperature: 0.2
Name: Palmyra | Temperature: 6.5
Name: Cypress Gardens | Temperature: 10.9
Name: Alice | Temperature: 20.4
Name: Chappaqua | Temperature: 0.0
Name: Sturgis | Temperature: -1.9
Name: North Merrick | Temperature: 1.3
Name: Apache Junction | Temperature: 19.8
Name: Bloomfield Township | Temperature: -273.1
Name: Auburn | Temperature: 2.5
Name: Alexander City | Temperature: 10.6
Name: Charleston | Temperature: 10.0
Name: Cumberland Hill | Temperature: -273.1
Name: Richfield | Temperature: -14.0
Name: Clearwater | Temperature: 12.6
Name: Bloomingdale | Temperature: 9.2
Name: New Paltz | Temperature: -2.0
Name: South Berwick | Temperature: -1.8
Name: Alabaster | Temperature: 8.2
Name: Sapulpa | Temperature: 1.5
Name: Anderson | Temperature: 10.3
Name: Aberdeen | Temperature: 0.5
Name: Quartz Hill | Temperature: -273.1
Name: Alvin | Temperature: 15.0
Name: Oshkosh | Temperature: -9.2
Name: Atlantic City | Temperature: 2.4
Name: Providence | Temperature: -0.2
Name: McKinney | Temperature: 9.7
Name: Trotwood | Temperature: 3.0
Name: Wallkill | Temperature: -1.4
Name: Bloomingdale | Temperature: 9.2
Name: Allouez | Temperature: -10.2
Name: Cortlandville | Temperature: -273.1
Name: New Baltimore | Temperature: -3.0
Name: Paducah | Temperature: 3.1
Name: Norwalk | Temperature: 17.7
Name: Pittsburg | Temperature: 12.0
Name: Brighton | Temperature: 9.1
Name: Calimesa | Temperature: 10.2
Name: Cleburne | Temperature: 10.8
Name: Pulaski | Temperature: 5.4
Name: Oceano | Temperature: 15.7
Name: Acworth | Temperature: 9.6
Name: Alamogordo | Temperature: 4.4
Name: Prescott Valley | Temperature: 3.7
Name: Brockport | Temperature: -2.5
Name: Aliquippa | Temperature: 0.8
Name: Owatonna | Temperature: -18.2
Name: Port Chester | Temperature: 1.3
Name: McLean | Temperature: -3.0
Name: Oklahoma City | Temperature: 1.6
Name: Anacortes | Temperature: 5.7
Name: Pitman | Temperature: 0.8
Name: New Scotland | Temperature: -1.9
Name: Spencer | Temperature: -13.5
Name: Plainview | Temperature: 0.9
Name: Corona | Temperature: 15.0
Name: Zuni Pueblo | Temperature: -2.5
Name: Alton | Temperature: 2.1
Name: Oconomowoc | Temperature: -9.1
Name: Santa Paula | Temperature: 15.0
Name: Olive Branch | Temperature: 5.3
Name: Pekin | Temperature: 1.5
Name: North Potomac | Temperature: -0.1
Name: Pompano Beach | Temperature: 19.3
Name: Camp Pendleton North | Temperature: 15.8
Name: Rosenberg | Temperature: -0.5
Name: Oconomowoc | Temperature: -9.1
Name: Atherton | Temperature: 10.4
Name: Oakton | Temperature: 0.4
Name: Paradise | Temperature: 11.2
Name: North Palm Beach | Temperature: 16.7
Name: Oakdale | Temperature: -13.7
Name: Plainfield | Temperature: -0.0
Name: Bowie | Temperature: 9.7
Name: Shelburne | Temperature: -5.5
Name: Pompton Lakes | Temperature: -1.0
Name: Tamaqua | Temperature: -2.8
Name: Absecon | Temperature: 0.7
Name: Pinewood | Temperature: 17.3
Name: Cortland | Temperature: -2.5
Name: Pleasant Valley | Temperature: -0.5
Name: Broadview Park | Temperature: 19.2
Name: Cortland | Temperature: -2.5
Name: Syracuse | Temperature: 6.4
Name: Pendleton | Temperature: 0.9
Name: Plattsburgh | Temperature: -4.5
Name: Ogdensburg | Temperature: -2.8
Name: Oakville | Temperature: -2.0
Name: Melrose | Temperature: -0.1
Name: Oakville | Temperature: -2.0
Name: Brockton | Temperature: -1.0
Name: Oak Hills | Temperature: -273.1
Name: D’Iberville | Temperature: -273.1
Name: Owego | Temperature: -1.2
Name: Rowlett | Temperature: 10.6
Name: Patterson | Temperature: 12.3
Name: Parkville | Temperature: 0.7
Name: Cleveland Heights | Temperature: -273.1
Name: Plainville | Temperature: -2.0
Name: Sutherlin | Temperature: 2.0
Name: Corvallis | Temperature: 2.5
Name: Palos Verdes Estates | Temperature: 17.4
Name: Old Bridge | Temperature: 0.6
Name: Clemmons | Temperature: 4.3
Name: Charleston | Temperature: 10.0
Name: Shiloh | Temperature: 2.0
Name: Charles City | Temperature: -14.9
Name: Camp Springs | Temperature: 0.9
Name: Shelbyville | Temperature: 5.0
Name: Plainville | Temperature: -2.0
Name: Montague | Temperature: -1.3
Name: Camp Verde | Temperature: 8.7
Name: Cortlandt | Temperature: -273.1
Name: Orono | Temperature: -7.7
Name: Rocky Point | Temperature: 0.2
Name: Palm Valley | Temperature: 6.7
Name: Old Orchard Beach | Temperature: -2.2
Name: Blue Ash | Temperature: 3.0
Name: North Highlands | Temperature: -273.1
Name: Ridgefield | Temperature: 1.9
Name: Coshocton | Temperature: 0.8
Name: New Bedford | Temperature: 0.7
Name: South Highpoint | Temperature: -273.1
Name: Oskaloosa | Temperature: -8.4
Name: St. Charles | Temperature: 2.6
Name: Santa Clara | Temperature: 20.0
Name: Palm Desert | Temperature: 15.3
Name: Bloomsburg | Temperature: -1.8
Name: Rosendale | Temperature: -2.3
Name: Oil City | Temperature: -1.3
Name: Portland | Temperature: 4.0
Name: Riverdale | Temperature: 10.7
Name: Bloomington | Temperature: -14.4
Name: Clifton Heights | Temperature: -273.1
Name: Shoreline | Temperature: 3.5
Name: Palo Alto | Temperature: 12.0
Name: Dallas | Temperature: 11.2
Name: Brookfield | Temperature: -7.8
Name: Pennsauken | Temperature: 2.1
